direction,influence_type,source_id,source_name,source_display_name,source_type,source_genre,source_year,target_id,target_name,target_display_name,target_type,target_genre,target_year
Other -> Sailor,DirectlySamples,17112,Embers & Echoes,Embers & Echoes,Album,Post-Apocalyptic Folk,2031,17268,Deepsea Fireflies,Deepsea Fireflies,Song,Oceanus Folk,2025
Other -> Sailor,InStyleOf,17022,Cassette Future,Cassette Future,MusicalGroup,,,17255,Sailor Shift,Sailor Shift,Person,,
Other -> Sailor,LyricalReferenceTo,17032,Silver Veil,Silver Veil,MusicalGroup,,,17255,Sailor Shift,Sailor Shift,Person,,
Other -> Sailor,InterpolatesFrom,17063,The Phantom Operators,The Phantom Operators,MusicalGroup,,,17255,Sailor Shift,Sailor Shift,Person,,
Other -> Sailor,InStyleOf,17110,The Hollow Monarchs,The Hollow Monarchs,MusicalGroup,,,17255,Sailor Shift,Sailor Shift,Person,,
Other -> Sailor,LyricalReferenceTo,17126,Cassian Storm,Seraphina Vale,Person,,,17255,Sailor Shift,Sailor Shift,Person,,
Other -> Sailor,InterpolatesFrom,17155,Claire Holmes,Jaye Finch,Person,,,17255,Sailor Shift,Sailor Shift,Person,,
Other -> Sailor,DirectlySamples,17361,Copper Canyon Ghosts,Copper Canyon Ghosts,MusicalGroup,,,17255,Sailor Shift,Sailor Shift,Person,,
Sailor -> Other,DirectlySamples,17261,The Kelp Forest Canticles,The Kelp Forest Canticles,Album,Oceanus Folk,2024,2197,Hallowed Transaction,Hallowed Transaction,Album,Doom Metal,2017
Sailor -> Other,CoverOf,17261,The Kelp Forest Canticles,The Kelp Forest Canticles,Album,Oceanus Folk,2024,9223,Für uns alle zusammen,Für uns alle zusammen,Song,Alternative Rock,2017
Sailor -> Other,InterpolatesFrom,17270,Salt-Kissed Rhymes,Salt-Kissed Rhymes,Song,Oceanus Folk,2026,11859,Caught in the Cricket Crease,Caught in the Cricket Crease,Album,Lo-Fi Electronica,2014
Sailor -> Other,InStyleOf,17270,Salt-Kissed Rhymes,Salt-Kissed Rhymes,Song,Oceanus Folk,2026,16209,The Void Inside,The Void Inside,Song,Dream Pop,2017
Sailor -> Other,InterpolatesFrom,17279,High Tide Heartbeat,High Tide Heartbeat,Song,Oceanus Folk,2028,14658,Addicted to Your Heartache,Addicted to Your Heartache,Album,Southern Gothic Rock,2004
Sailor -> Other,CoverOf,17280,Electric Eel Love,Electric Eel Love,Song,Oceanus Folk,2028,14933,The Crown We Wear,The Crown We Wear,Song,Indie Rock,2022
Sailor -> Other,InStyleOf,17280,Electric Eel Love,Electric Eel Love,Song,Oceanus Folk,2028,10534,Twelve Bells of Augsburg,Twelve Bells of Augsburg,Song,Psychedelic Rock,2026
Sailor -> Other,InterpolatesFrom,17231,Tides of Echos,Tides of Echos,Album,Oceanus Folk,2029,14352,Weathered Miles,Weathered Miles,Song,Doom Metal,2023
Sailor -> Other,InStyleOf,17231,Tides of Echos,Tides of Echos,Album,Oceanus Folk,2029,14296,The Long Way Home,The Long Way Home,Album,Dream Pop,2023
Sailor -> Other,InStyleOf,17273,Salty Dreams,Salty Dreams,Album,Oceanus Folk,2030,3881,Susurros de Pasión,Susurros de Pasión,Song,Synthwave,2004
Sailor -> Other,InStyleOf,17285,Driftwood Lullaby,Driftwood Lullaby,Song,Oceanus Folk,2030,8207,Echoes of Forgotten Light,Echoes of Forgotten Light,Song,Alternative Rock,2004
Sailor -> Other,CoverOf,17273,Salty Dreams,Salty Dreams,Album,Oceanus Folk,2030,9848,Partisan's Lament,Partisan's Lament,Song,Indie Pop,2030
Sailor -> Other,CoverOf,17350,Tidesworn Ballads,Tidesworn Ballads,Album,Oceanus Folk,2031,10016,Dreamscape of Judgment,Dreamscape of Judgment,Song,Symphonic Metal,2023
Sailor -> Other,InStyleOf,17286,Saltwater Hymn,Saltwater Hymn,Song,Oceanus Folk,2032,10903,Parallel Memories,Parallel Memories,Song,Dream Pop,2028
Sailor -> Other,CoverOf,16999,Melancholy Circuitry,Melancholy Circuitry,Album,Americana,2033,14893,Twilight's Threshold,Twilight's Threshold,Song,Synthwave,2007
Sailor -> Other,InStyleOf,17275,Coral Beats,Coral Beats,Album,Oceanus Folk,2034,15855,Sacred Fragments,Sacred Fragments,Song,Synthwave,2003
Sailor -> Other,CoverOf,17275,Coral Beats,Coral Beats,Album,Oceanus Folk,2034,16312,Harvest Dance at Ler Valley,Harvest Dance at Ler Valley,Song,Psychedelic Rock,2010
Sailor -> Other,InterpolatesFrom,17287,Moon Over the Tide,Moon Over the Tide,Song,Oceanus Folk,2034,11254,Divergent Memories,Divergent Memories,Song,Indie Folk,2017
Sailor -> Other,InStyleOf,17289,Barnacle Heart,Barnacle Heart,Song,Oceanus Folk,2034,5574,Our Inevitable Path,Our Inevitable Path,Song,Indie Folk,2017
Sailor -> Other,LyricalReferenceTo,17287,Moon Over the Tide,Moon Over the Tide,Song,Oceanus Folk,2034,13589,Silent Steps in the Forest's Embrace,Silent Steps in the Forest's Embrace,Song,Avant-Garde Folk,2023
Sailor -> Other,InStyleOf,17290,Fog & Fiddle,Fog & Fiddle,Song,Oceanus Folk,2036,12237,Provence Aria,Provence Aria,Song,Indie Rock,2023
Sailor -> Other,InterpolatesFrom,17290,Fog & Fiddle,Fog & Fiddle,Song,Oceanus Folk,2036,12685,Coastal Whispers of Biscay,Coastal Whispers of Biscay,Song,Alternative Rock,2031
Sailor -> Other,InterpolatesFrom,17049,Electric Reverie,Electric Reverie,Album,Oceanus Folk,2038,7026,Reflejo Interior,Reflejo Interior,Song,Americana,1983
Sailor -> Other,InStyleOf,17292,Stormsong,Stormsong,Song,Oceanus Folk,2038,6592,When the Bar Lights Go Up,When the Bar Lights Go Up,Song,Emo/Pop Punk,2000
Sailor -> Other,LyricalReferenceTo,17277,Oceanbound,Oceanbound,Album,Oceanus Folk,2038,876,Bold Without Apology,Bold Without Apology,Song,Indie Rock,2010
Sailor -> Other,LyricalReferenceTo,17277,Oceanbound,Oceanbound,Album,Oceanus Folk,2038,3986,Altitude of Mistakes,Altitude of Mistakes,Song,Americana,2015
Sailor -> Other,InStyleOf,17049,Electric Reverie,Electric Reverie,Album,Oceanus Folk,2038,14107,Folklore's Heartbeat,Folklore's Heartbeat,Song,Blues Rock,2020
Sailor -> Other,DirectlySamples,17292,Stormsong,Stormsong,Song,Oceanus Folk,2038,13014,Exoskeleton Dissolve,Exoskeleton Dissolve,Song,Indie Rock,2020
Sailor -> Other,DirectlySamples,17255,Sailor Shift,Sailor Shift,Person,,,17260,Ivy Echos,Ivy Echos,MusicalGroup,,
Sailor -> Other,InStyleOf,17255,Sailor Shift,Sailor Shift,Person,,,17299,The Saltwater Weavers,The Saltwater Weavers,MusicalGroup,,
Sailor -> Other,LyricalReferenceTo,17255,Sailor Shift,Sailor Shift,Person,,,17327,Drowned Harbor,Drowned Harbor,MusicalGroup,,
Sailor -> Other,InStyleOf,17255,Sailor Shift,Sailor Shift,Person,,,17192,The Fiddle & The Fjord,The Fiddle & The Fjord,MusicalGroup,,
